x1,x2,x3,x4,x5,eps
1.575,0.205,93.54,5,95511,0.5
0.84,0.14,58.63,19.5,11187,0.07
2.59,0.19,181.095,10.5,60282,-0.18
1.6,0.135,92.44,5,34604,0.25
0.84,0.225,54.63,8,730517,1.73
1.345,0.18,60.29,10,73104,0.03
1.155,0.075,87.375,4.5,5452,0.13
1.91,0.52,61.58,4,56110.5,0.88
1.685,0.18,116.625,5,79757,0.73
0.75,0.25,143.85,3.5,5875.5,-0.19
1.72,0.265,65.065,10,263642,0.83
2.7,0.105,158.2,20,0,-1.53
2.81,0.145,77.595,7,1714243,3.73
1.325,0.17,60.995,10,17869,-0.2
2.445,0.115,54.745,3,82617,0.93
1.27,0.175,81.88,1,24140,0.98
1.5,0.32,88.03,8,337701,2.75
0.87,0.235,91.95,2,88533,2.4
0.88,0.165,58.22,25,0,-0.1
1.91,0.195,73.88,21,45000,0.23
2.115,0.195,184.305,11,0,-0.81
1.52,0.135,86.16,5,0,-11.95
0.905,0.24,48.035,8,652090,1.36
2.335,0.135,54.035,3,82617,0.5
1.32,0.07,97.795,5,0,0.04
1.475,0.33,88.525,8,337701,2.13
0.745,0.24,138.96,4,0,-0.74
1.185,0.13,96.325,24,0,-0.29
2.875,0.17,59.74,7,1714243,2.17
1.975,0.17,188.82,11,0,-0.37
1.375,0.18,57.675,10,17869,0.61
1.425,0.18,113.26,5,64003,0.43
0.77,0.225,92.65,2,88533,1.6
0.725,0.23,144.255,4,0,0.05
1.295,0.125,100.635,24,0,0.04
1.6,0.18,71.63,5.5,15075,0.34
0.775,0.22,47.1,8,717579.5,1.71
1.525,0.205,55.3,10,88807,0.71
1.535,0.405,55.275,4,64108.5,0
0.805,0.215,91.75,4,123946,2.41
2.875,0.09,133.355,19,0,-2.38
2.115,0.205,127,11,0,0.11
0.83,0.22,48.32,8,783069,2.15
1.65,0.19,111.06,5,68064,0.73
0.855,0.16,105.365,8,0,-0.34
2.21,0.21,119.71,11,0,-0.67
2.035,0.475,55.435,4,68889,0
1.305,0.21,78.97,1,22280,0.35
1.69,0.205,105.67,5,68064,0.53
1.345,0.34,71.7,8,376235,2.4
0.945,0.225,82.8,6,159359,1.81
0.735,0.2,153.41,4,0,-1.47
2.245,0.21,128.58,11,0,0.61
1.275,0.185,79.65,6,30150,0.16
1.92,0.485,46.715,4,68889,0.68
1.345,0.2,81.675,1,22280,0.65
0.945,0.215,79.325,6,159359,1.47
1.98,0.015,126.96,12,0,-0.11
1.36,0.18,79.415,1,21888.5,0.72
0.915,0.18,79.94,5,140153,1.66
0.715,0.195,129.985,4,0,-0.06
1.61,0.255,55.36,4,32528,0.27
1.395,0.185,66.185,1,21497,0.57
0.765,0.145,86.16,8,0,-0.23
1.885,0.015,144.785,12,0,-0.17
1.405,0.185,79.565,6,31107,0.31
3.19,0.205,0,3,30.92,0.63
2.315,0.15,45.945,2,248.66,2.22
1.025,0.36,77.03,4,16.21,0.99
2.02,0.15,95.685,2,16.75,0.58
2.155,0.16,55.19,2,248.66,0.66
1.35,0.265,31.385,2,42.08,0.48
2.075,0.165,104.895,2,16.75,0.47
1.185,0.235,37.34,2,23.54,1.14
1.75,0.11,76.25,2,67.82,0.7
2.485,0.265,71.385,2,33.95,1.53
1.01,0.35,107.79,4,16.93,0.43
0.975,0.33,116.925,4,21.68,0.48
1.545,0.14,129.72,2,15.79,0.51
1.415,0.265,38.685,2,20.13,0.58
1.84,0.13,58.85,2,45.58,0.66
1.53,0.15,56.675,2,42.86,0.5
1.23,0.4,92.51,4,32,1.76
1.145,0.375,96.59,4,32,0.89
1.84,0.425,37.74,10.5,355,4.52
2.01,0.535,31.365,10,320,3.29
2.115,0.53,42.55,10,310,4.63
2.17,0.515,45.005,10,310,3.9
2.47,0.565,37.39,6,222,1.66
2.435,0.555,38.385,6,222,2.73
